resource_kind,resource_name,legacy_owner,legacy_source,target_owner,persistence_role,constraints_or_pattern,migration_status,notes
table,exam_questions,exam,app/models/exam.py; migrations/versions/3a7dbef5d592_initial_schema.py,assessment,business_fact,columns=8; fk=exam_id->exams.id; migration_indexes=ix_exam_questions_exam_id,inventoried,One runtime writer during cutover.
table,exam_templates,exam,app/models/exam.py; migrations/versions/3a7dbef5d592_initial_schema.py,assessment,business_fact,columns=6; fk=user_id->users.id,inventoried,One runtime writer during cutover.
table,exams,exam,app/models/exam.py; migrations/versions/3a7dbef5d592_initial_schema.py,assessment,business_fact,columns=9; fk=user_id->users.id,inventoried,One runtime writer during cutover.
table,favorites,quiz,app/models/quiz.py; migrations/versions/3a7dbef5d592_initial_schema.py,learning,business_fact,columns=4; fk=question_id->questions.id|user_id->users.id; unique=user_id+question_id; migration_indexes=ix_favorites_user_question,inventoried,One runtime writer during cutover.
table,forum_boards,forum,app/models/forum.py; migrations/versions/f8a2c1d3e4b5_add_forum_tables.py,community,business_fact,columns=12; fk=created_by->users.id|subject_id->subjects.id; unique=slug; migration_indexes=ix_forum_boards_sort|ix_forum_boards_subject,inventoried,One runtime writer during cutover.
table,forum_comments,forum,app/models/forum.py; migrations/versions/f8a2c1d3e4b5_add_forum_tables.py,community,business_fact,columns=13; fk=author_id->users.id|parent_id->forum_comments.id|post_id->forum_posts.id|reply_to_user_id->users.id; migration_indexes=ix_forum_comments_author|ix_forum_comments_parent|ix_forum_comments_post|ix_forum_comments_post_deleted,inventoried,One runtime writer during cutover.
table,forum_favorites,forum,app/models/forum.py; migrations/versions/f8a2c1d3e4b5_add_forum_tables.py,community,business_fact,columns=4; fk=post_id->forum_posts.id|user_id->users.id; unique=user_id+post_id,inventoried,One runtime writer during cutover.
table,forum_likes,forum,app/models/forum.py; migrations/versions/f8a2c1d3e4b5_add_forum_tables.py,community,business_fact,columns=5; fk=user_id->users.id; unique=user_id+target_type+target_id,inventoried,One runtime writer during cutover.
table,forum_mentions,forum,app/models/forum.py; migrations/versions/a1b2c3d4e5f6_add_forum_phase2_tables.py,community,business_fact,columns=7; fk=mentioned_user_id->users.id|mentioner_id->users.id; migration_indexes=ix_forum_mentions_source|ix_forum_mentions_user,inventoried,One runtime writer during cutover.
table,forum_poll_votes,forum,app/models/forum.py; migrations/versions/a1b2c3d4e5f6_add_forum_phase2_tables.py,community,business_fact,columns=5; fk=post_id->forum_posts.id|user_id->users.id; unique=post_id+user_id+option_index; migration_indexes=ix_forum_poll_votes_post,inventoried,One runtime writer during cutover.
table,forum_posts,forum,app/models/forum.py; migrations/versions/f8a2c1d3e4b5_add_forum_tables.py; migrations/versions/d1e2f3a4b5c6_add_forum_fulltext_search.py,community,business_fact,columns=27; fk=author_id->users.id|board_id->forum_boards.id; migration_indexes=ix_forum_posts_author|ix_forum_posts_board_created|ix_forum_posts_board_deleted_created|ix_forum_posts_pinned|ix_forum_posts_search; physical_columns=28; physical_extra_column=search_vector tsvector GENERATED ALWAYS AS (...) STORED,inventoried,The inspected PostgreSQL schema has 28 physical columns: 27 ORM columns plus generated search_vector; its GIN index and ALTER migration are explicit contract evidence.
table,forum_reactions,forum,app/models/forum.py; migrations/versions/a1b2c3d4e5f6_add_forum_phase2_tables.py,community,business_fact,columns=6; fk=user_id->users.id; unique=user_id+target_type+target_id+emoji; migration_indexes=ix_forum_reactions_target,inventoried,One runtime writer during cutover.
table,forum_reports,forum,app/models/forum.py; migrations/versions/a1b2c3d4e5f6_add_forum_phase2_tables.py,community,business_fact,columns=11; fk=handled_by->users.id|reporter_id->users.id; migration_indexes=ix_forum_reports_status|ix_forum_reports_target,inventoried,One runtime writer during cutover.
table,forum_uploads,forum,app/models/forum.py; migrations/versions/d4e5f6a7b8c9_add_forum_upload_tracking.py,community,business_fact,columns=7; fk=post_id->forum_posts.id|uploader_id->users.id; migration_indexes=idx_forum_uploads_attached|idx_forum_uploads_post|idx_forum_uploads_uploader,inventoried,One runtime writer during cutover.
table,forum_user_bans,forum,app/models/forum.py; migrations/versions/a1b2c3d4e5f6_add_forum_phase2_tables.py,community,business_fact,columns=7; fk=banned_by->users.id|user_id->users.id; migration_indexes=ix_forum_user_bans_user,inventoried,One runtime writer during cutover.
table,interaction_notifications,forum,app/models/follow.py; migrations/versions/c1d2e3f4a5b6_add_follows_and_interaction_notifications.py,messaging,business_fact,columns=10; fk=actor_id->users.id|user_id->users.id; migration_indexes=ix_interaction_notifications_user,inventoried,"ORM exists in app/models/follow.py but app.models package does not import it; the legacy forum service is the only runtime reader/writer, while the target owner remains messaging and the database has uq_interaction_notifications_dedup absent from ORM."
table,mistakes,quiz,app/models/quiz.py; migrations/versions/3a7dbef5d592_initial_schema.py,learning,business_fact,columns=7; fk=question_id->questions.id|user_id->users.id; unique=user_id+question_id; migration_indexes=ix_mistakes_user_question,inventoried,One runtime writer during cutover.
table,notification_dismissals,notifications,app/models/notification.py; migrations/versions/3a7dbef5d592_initial_schema.py,messaging,business_fact,columns=4; fk=notification_id->notifications.id|user_id->users.id; unique=user_id+notification_id,inventoried,One runtime writer during cutover.
table,notifications,notifications/admin,app/models/notification.py; migrations/versions/3a7dbef5d592_initial_schema.py,messaging,business_fact,columns=11; fk=created_by->users.id; migration_indexes=ix_notifications_is_active,inventoried,One runtime writer during cutover.
table,plaza_boards,user_bank,app/models/plaza.py; migrations/versions/f2b3c4d5e6f7_add_public_bank_plaza_read_model.py,catalog,business_fact,columns=9; unique=slug,inventoried,One runtime writer during cutover.
table,popup_dismissals,popups,app/models/popup.py; migrations/versions/3a7dbef5d592_initial_schema.py,operations,business_fact,columns=4; fk=popup_id->popups.id|user_id->users.id; unique=user_id+popup_id,inventoried,One runtime writer during cutover.
table,popup_views,popups,app/models/popup.py; migrations/versions/3a7dbef5d592_initial_schema.py,operations,business_fact,columns=4; fk=popup_id->popups.id|user_id->users.id,inventoried,One runtime writer during cutover.
table,popups,popups/admin,app/models/popup.py; migrations/versions/3a7dbef5d592_initial_schema.py,operations,business_fact,columns=11; fk=created_by->users.id,inventoried,One runtime writer during cutover.
table,public_bank_plaza_metrics,user_bank,app/models/plaza.py; migrations/versions/f2b3c4d5e6f7_add_public_bank_plaza_read_model.py,catalog,business_fact,columns=24; fk=plaza_board_id->plaza_boards.id; unique=source_type+source_id; migration_indexes=ix_public_bank_plaza_metrics_tab_active|ix_public_bank_plaza_metrics_tab_featured|ix_public_bank_plaza_metrics_tab_hot,inventoried,One runtime writer during cutover.
table,public_bank_users,user_bank,app/models/user_bank.py; migrations/versions/3a7dbef5d592_initial_schema.py,personalbank,business_fact,columns=6; fk=bank_id->user_question_banks.id|user_id->users.id; unique=bank_id+user_id,inventoried,One runtime writer during cutover.
table,public_subject_users,user_bank,app/models/plaza.py; migrations/versions/e6f7a8b9c0d1_add_system_join_and_bank_profile_fields.py,catalog,business_fact,columns=6; fk=subject_id->subjects.id|user_id->users.id; unique=subject_id+user_id; migration_indexes=ix_public_subject_users_subject_user,inventoried,One runtime writer during cutover.
table,questions,quiz/admin,app/models/subject.py; migrations/versions/3a7dbef5d592_initial_schema.py,catalog,business_fact,columns=15; fk=subject_id->subjects.id; migration_indexes=ix_questions_subject_id|ix_questions_subject_type,inventoried,One runtime writer during cutover.
table,reinforce_similar_cache,quiz,app/models/system.py; migrations/versions/3a7dbef5d592_initial_schema.py,learning,supporting_state,columns=8; unique=source+scope_id,inventoried,One runtime writer during cutover.
table,schema_migrations,system,app/models/system.py; migrations/versions/3a7dbef5d592_initial_schema.py,operations,supporting_state,columns=2,inventoried,One runtime writer during cutover.
table,study_learning,quiz,app/models/study.py; migrations/versions/3a7dbef5d592_initial_schema.py,learning,business_fact,columns=13; fk=user_id->users.id; unique=user_id+source+scope_id+question_id,inventoried,One runtime writer during cutover.
table,study_review,quiz,app/models/study.py; migrations/versions/3a7dbef5d592_initial_schema.py,learning,business_fact,columns=13; fk=user_id->users.id; unique=user_id+source+scope_id+question_id; migration_indexes=ix_study_review_user_due,inventoried,One runtime writer during cutover.
table,subjects,quiz/admin,app/models/subject.py; migrations/versions/3a7dbef5d592_initial_schema.py,catalog,business_fact,columns=9; fk=plaza_board_id->plaza_boards.id; unique=name,inventoried,One runtime writer during cutover.
table,system_config,admin,app/models/system.py; migrations/versions/3a7dbef5d592_initial_schema.py,operations,business_fact,columns=6; fk=updated_by->users.id; unique=config_key,inventoried,One runtime writer during cutover.
table,user_answers,quiz,app/models/quiz.py; migrations/versions/3a7dbef5d592_initial_schema.py,learning,business_fact,columns=6; fk=question_id->questions.id|user_id->users.id; migration_indexes=ix_user_answers_user_created|ix_user_answers_user_question,inventoried,One runtime writer during cutover.
table,user_bank_answers,user_bank,app/models/user_bank.py; migrations/versions/3a7dbef5d592_initial_schema.py,learning,business_fact,columns=7; fk=bank_id->user_question_banks.id|question_id->user_bank_questions.id|user_id->users.id; unique=user_id+question_id; migration_indexes=ix_user_bank_answers_user_bank,inventoried,One runtime writer during cutover.
table,user_bank_categories,user_bank,app/models/user_bank.py; migrations/versions/3a7dbef5d592_initial_schema.py,personalbank,business_fact,columns=7; fk=user_id->users.id; unique=user_id+name,inventoried,One runtime writer during cutover.
table,user_bank_favorites,user_bank,app/models/user_bank.py; migrations/versions/3a7dbef5d592_initial_schema.py,learning,business_fact,columns=5; fk=bank_id->user_question_banks.id|question_id->user_bank_questions.id|user_id->users.id; unique=user_id+question_id; migration_indexes=ix_user_bank_favorites_user_bank,inventoried,One runtime writer during cutover.
table,user_bank_mistakes,user_bank,app/models/user_bank.py; migrations/versions/3a7dbef5d592_initial_schema.py,learning,business_fact,columns=7; fk=bank_id->user_question_banks.id|question_id->user_bank_questions.id|user_id->users.id; unique=user_id+question_id; migration_indexes=ix_user_bank_mistakes_user_bank,inventoried,One runtime writer during cutover.
table,user_bank_questions,user_bank,app/models/user_bank.py; migrations/versions/3a7dbef5d592_initial_schema.py,personalbank,business_fact,columns=16; fk=bank_id->user_question_banks.id|user_id->users.id; migration_indexes=ix_user_bank_questions_bank_id,inventoried,One runtime writer during cutover.
table,user_checkins,user,app/models/quiz.py; migrations/versions/3a7dbef5d592_initial_schema.py,learning,business_fact,columns=4; fk=user_id->users.id; unique=user_id+checkin_date,inventoried,One runtime writer during cutover.
table,user_coding_stats,coding,app/models/coding.py; migrations/versions/3a7dbef5d592_initial_schema.py,coding,business_fact,columns=9; fk=user_id->users.id; unique=user_id,inventoried,One runtime writer during cutover.
table,user_follows,forum,app/models/follow.py; migrations/versions/c1d2e3f4a5b6_add_follows_and_interaction_notifications.py,community,business_fact,columns=4; fk=follower_id->users.id|following_id->users.id; unique=follower_id+following_id; migration_indexes=ix_user_follows_follower|ix_user_follows_following,inventoried,ORM exists in app/models/follow.py but app.models package does not import it; ORM and database constraint names differ.
table,user_progress,quiz/auth/user,app/models/quiz.py; migrations/versions/3a7dbef5d592_initial_schema.py,learning,business_fact,columns=6; fk=user_id->users.id; unique=user_id+p_key; migration_indexes=ix_user_progress_user_id,inventoried,One runtime writer during cutover.
table,user_question_banks,user_bank,app/models/user_bank.py; migrations/versions/3a7dbef5d592_initial_schema.py,personalbank,business_fact,columns=22; fk=category_id->user_bank_categories.id|plaza_board_id->plaza_boards.id|user_id->users.id,inventoried,One runtime writer during cutover.
table,user_question_tag_items,quiz/user_bank,app/models/system.py; migrations/versions/3a7dbef5d592_initial_schema.py,learning,business_fact,columns=7; fk=user_id->users.id,inventoried,Runtime attempts two extra composite indexes that are absent from Alembic and the inspected local database.
table,user_quiz_stats,quiz,app/models/quiz.py; migrations/versions/3a7dbef5d592_initial_schema.py,learning,business_fact,columns=5; fk=user_id->users.id; unique=user_id,inventoried,One runtime writer during cutover.
table,user_remarks,chat,app/models/chat.py; migrations/versions/3a7dbef5d592_initial_schema.py,messaging,business_fact,columns=6; fk=owner_user_id->users.id|target_user_id->users.id; unique=owner_user_id+target_user_id,inventoried,One runtime writer during cutover.
table,user_subjects,user/admin,app/models/system.py; migrations/versions/3a7dbef5d592_initial_schema.py,identity,business_fact,columns=5; fk=restricted_by->users.id|subject_id->subjects.id|user_id->users.id; unique=user_id+subject_id; migration_indexes=ix_user_subjects_user_id,inventoried,One runtime writer during cutover.
table,users,user/auth,app/models/user.py; migrations/versions/3a7dbef5d592_initial_schema.py,identity,business_fact,columns=21; unique=username; indexes=ix_users_phone(phone) unique; migration_indexes=ix_users_email|ix_users_openid|ix_users_phone,inventoried,One runtime writer during cutover.
db_kv_namespace,web_login_session:<sid>,auth,app/modules/auth/services/web_login_service.py; app/models/quiz.py,identity,short_lived_coordination,"user_progress(user_id,p_key,data); unique(user_id,p_key); JSON expires_at=20m",inventoried,"Read-time expiry only; no row/file cleanup found. System-scoped row is stored under KV_OWNER_USER_ID (default 1, otherwise the first user), not the business user; preserve or deliberately replace that ownership rule during migration."
db_kv_namespace,web_login_token:<token>,auth,app/modules/auth/services/web_login_service.py; app/models/quiz.py,identity,single_use_coordination,"user_progress(user_id,p_key,data); unique(user_id,p_key); JSON expires_at=30s",inventoried,"Single-use token; expired/consumed tokens are deleted only when consumed. System-scoped row is stored under KV_OWNER_USER_ID (default 1, otherwise the first user), not the business user; preserve or deliberately replace that ownership rule during migration."
db_kv_namespace,web_wechat_bind_session:<sid>,auth,app/modules/auth/services/web_login_service.py; app/models/quiz.py,identity,short_lived_coordination,"user_progress(user_id,p_key,data); unique(user_id,p_key); JSON expires_at=20m",inventoried,"Read-time expiry only; no row/file cleanup found. System-scoped row is stored under KV_OWNER_USER_ID (default 1, otherwise the first user), not the business user; preserve or deliberately replace that ownership rule during migration."
db_kv_namespace,wechat_temp_token:<token>,auth,app/modules/auth/services/web_login_service.py; app/models/quiz.py,identity,single_use_coordination,"user_progress(user_id,p_key,data); unique(user_id,p_key); JSON expires_at=5m",inventoried,"Sensitive single-use token; no periodic cleanup. System-scoped row is stored under KV_OWNER_USER_ID (default 1, otherwise the first user), not the business user; preserve or deliberately replace that ownership rule during migration."
db_kv_namespace,user_profile_extra_v1,user,app/modules/user/routes/api.py; app/models/quiz.py,identity,business_state,"user_progress(user_id,p_key,data); unique(user_id,p_key); no TTL",inventoried,Legacy profile extension document.
db_kv_namespace,question_tags_v1,quiz,app/modules/quiz/services/question_tags_service.py; app/models/quiz.py,learning,legacy_compatibility_state,"user_progress(user_id,p_key,data); unique(user_id,p_key); no TTL",inventoried,Read-only compatibility source migrated on demand to user_question_tag_items; current writes no longer update this namespace.
db_kv_namespace,bank_<bank_id>_tags,user_bank,app/modules/user_bank/routes/api_tags.py; app/models/quiz.py,personalbank,legacy_compatibility_state,"user_progress(user_id,p_key,data); unique(user_id,p_key); no TTL",inventoried,Read-only compatibility source migrated on demand to user_question_tag_items; current writes no longer update this namespace.
db_kv_namespace,user_bank_duplicate_check:<bank_id>,user_bank,app/modules/user_bank/services/duplicate_check_service.py; app/models/quiz.py,personalbank,rebuildable_snapshot,"user_progress(user_id,p_key,data); unique(user_id,p_key); no TTL",inventoried,Rebuildable duplicate-check snapshot.
db_kv_namespace,study_progress_<uid>_...,quiz,app/modules/quiz/routes/pages_helpers.py; app/modules/quiz/templates/quiz/partials/quiz/assets/js/_00_bootstrap.html; app/models/quiz.py,learning,business_state,"user_progress(user_id,p_key,data); unique(user_id,p_key); no TTL",inventoried,Study ordering/progress state.
db_kv_namespace,quiz_progress_<uid>_...,quiz,app/modules/quiz/routes/pages_helpers.py; miniprogram-1/miniprogram/pages/quiz/quiz.ts; app/models/quiz.py,learning,business_state,"user_progress(user_id,p_key,data); unique(user_id,p_key); no TTL",inventoried,Public-bank and reinforce/quiz ordering and answer progress.
db_kv_namespace,bank_quiz_progress_<uid>_...,miniprogram/user_bank,miniprogram-1/miniprogram/pages/quiz/quiz.ts; app/models/quiz.py,learning,business_state,"user_progress(user_id,p_key,data); unique(user_id,p_key); no TTL",inventoried,Miniprogram personal-bank quiz progress; intentionally owned with learning progress.
db_kv_namespace,last_practice_session,quiz/miniprogram,app/modules/quiz/templates/quiz/partials/quiz/assets/js/_00_bootstrap.html; miniprogram-1/miniprogram/pages/quiz/quiz.ts; app/models/quiz.py,learning,business_state,"user_progress(user_id,p_key,data); unique(user_id,p_key); no TTL",inventoried,Cross-surface resume pointer for the most recent practice session.
db_kv_namespace,user_settings_v1,settings/miniprogram,app/modules/main/templates/main/settings/theme.html; miniprogram-1/miniprogram/utils/user-settings.ts; app/models/quiz.py,identity,business_state,"user_progress(user_id,p_key,data); unique(user_id,p_key); no TTL",inventoried,Cross-surface user preferences; do not absorb into the generic learning namespace.
db_kv_namespace,subject:overview,development seed,scripts/严格初始化开发数据.py; app/models/quiz.py,catalog,seed_state,"user_progress(user_id,p_key,data); unique(user_id,p_key); no TTL",inventoried,Initialization data.
db_kv_namespace,<client_supplied_p_key>,quiz API,app/modules/quiz/routes/api_components/progress_tags_notifications.py; app/models/quiz.py,learning,unbounded_legacy_namespace,"user_progress(user_id,p_key,data); unique(user_id,p_key); no TTL; mixed/unknown namespace",inventoried,POST /api/progress accepts arbitrary client keys; inventory known keys explicitly and constrain this escape hatch during migration.
redis_key,cache:chat:convs:<sha256(params)>,shared cache_utils,app/core/utils/cache_utils.py,messaging,rebuildable_cache,Redis DB 0; TTL=5s,inventoried,Redis uses allkeys-lru; never treat cache content as final business truth.
redis_key,cache:forum:boards:<sha256(params)>,shared cache_utils,app/core/utils/cache_utils.py,community,rebuildable_cache,Redis DB 0; TTL=300s,inventoried,Redis uses allkeys-lru; never treat cache content as final business truth.
redis_key,cache:data_center:<sha256(params)>,shared cache_utils,app/core/utils/cache_utils.py,learning,rebuildable_cache,Redis DB 0; TTL=120s,inventoried,Redis uses allkeys-lru; never treat cache content as final business truth.
redis_key,cache:quiz:question_detail:<sha256(params)>,shared cache_utils,app/core/utils/cache_utils.py,catalog,rebuildable_cache,Redis DB 0; TTL=300s,inventoried,Redis uses allkeys-lru; never treat cache content as final business truth.
redis_key,cache:quiz:questions_count:<sha256(params)>,shared cache_utils,app/core/utils/cache_utils.py,catalog,rebuildable_cache,Redis DB 0; TTL=60s; production default 120s,inventoried,Redis uses allkeys-lru; never treat cache content as final business truth.
redis_key,cache:quiz:user_counts:<sha256(params)>,shared cache_utils,app/core/utils/cache_utils.py,learning,rebuildable_cache,Redis DB 0; TTL=30s,inventoried,Redis uses allkeys-lru; never treat cache content as final business truth.
redis_key,cache:quiz:history:<sha256(params)>,shared cache_utils,app/core/utils/cache_utils.py,learning,rebuildable_cache,Redis DB 0; TTL=30s,inventoried,Redis uses allkeys-lru; never treat cache content as final business truth.
redis_key,cache:quiz:subject_stats_detail:<sha256(params)>,shared cache_utils,app/core/utils/cache_utils.py,learning,rebuildable_cache,Redis DB 0; TTL=30s,inventoried,Redis uses allkeys-lru; never treat cache content as final business truth.
redis_key,cache:quiz:subjects:<sha256(params)>,shared cache_utils,app/core/utils/cache_utils.py,catalog,rebuildable_cache,Redis DB 0; TTL=60s; production default 300s,inventoried,Redis uses allkeys-lru; never treat cache content as final business truth.
redis_key,cache:quiz:subjects_meta:<sha256(params)>,shared cache_utils,app/core/utils/cache_utils.py,catalog,rebuildable_cache,Redis DB 0; TTL=60s; production default 300s,inventoried,Redis uses allkeys-lru; never treat cache content as final business truth.
redis_key,cache:quiz:subject_info:<sha256(params)>,shared cache_utils,app/core/utils/cache_utils.py,catalog,rebuildable_cache,Redis DB 0; TTL=subjects-meta TTL,inventoried,Redis uses allkeys-lru; never treat cache content as final business truth.
redis_key,cache:quiz:ai_explain:<sha256(params)>,shared cache_utils,app/core/utils/cache_utils.py,intelligence,rebuildable_cache,Redis DB 0; TTL=30d default,inventoried,Redis uses allkeys-lru; never treat cache content as final business truth.
redis_key,cache:ver:quiz:questions,shared cache_utils,app/core/utils/cache_utils.py,catalog,rebuildable_cache_version,Redis DB 0; integer; no TTL,inventoried,Invalidation version only.
redis_key,cache:ver:quiz:subjects,shared cache_utils,app/core/utils/cache_utils.py,catalog,rebuildable_cache_version,Redis DB 0; integer; no TTL,inventoried,Invalidation version only.
redis_key,cache:ver:quiz:u:<user_id>,shared cache_utils,app/core/utils/cache_utils.py,learning,rebuildable_cache_version,Redis DB 0; integer; no TTL,inventoried,Invalidation version only.
redis_key,cache:ver:chat:conv:<user_id>,shared cache_utils,app/core/utils/cache_utils.py,messaging,rebuildable_cache_version,Redis DB 0; integer; no TTL,inventoried,Invalidation version only.
redis_key,cache:ver:forum:boards,shared cache_utils,app/core/utils/cache_utils.py,community,rebuildable_cache_version,Redis DB 0; integer; no TTL,inventoried,Invalidation version only.
redis_key,auth:user_state:<user_id>,auth,app/core/utils/user_state_cache.py,identity,rebuildable_auth_cache,JSON; TTL 20s default; if configured as 0 the Redis key has no expiry and the process-local fallback is disabled,inventoried,"Authoritative state remains PostgreSQL; zero is a configuration edge case, not the current default."
redis_key,chat:unread:<user_id>,chat,app/core/utils/unread_counter.py,messaging,rebuildable_counter_cache,Hash conversation_id->count; no TTL,inventoried,Rebuild from durable messages/read state.
redis_key,ai_explain:result:<hash>,quiz,app/modules/quiz/routes/api_components/ai_jobs.py; app/tasks/ai_explain_tasks.py,intelligence,rebuildable_result_cache,JSON; TTL 30d default,inventoried,The route defines/reads the key and the RQ task writes the result.
redis_key,ai_explain:job:<hash>,quiz,app/modules/quiz/routes/api_components/ai_jobs.py,intelligence,idempotency_coordination,job id; TTL 600s,inventoried,Enqueue de-duplication only.
redis_key,sms:rate:<phone>,auth,app/modules/auth/services/sms_auth_service.py,identity,rate_limit,nominal TTL 60s; INCR then EXPIRE are not atomic,inventoried,Never a delivery fact; a crash or EXPIRE failure can leave a non-expiring key.
redis_key,sms:rate_hour:<phone>,auth,app/modules/auth/services/sms_auth_service.py,identity,rate_limit,nominal TTL 3600s; INCR then EXPIRE are not atomic,inventoried,Never a delivery fact; a crash or EXPIRE failure can leave a non-expiring key.
redis_key,sms:failed:<timestamp>,auth,app/tasks/sms_tasks.py,operations,failure_telemetry,TTL 7d,inventoried,Masked failure telemetry.
redis_key,email:failed:<timestamp>,auth,app/tasks/email_tasks.py,operations,failure_telemetry,TTL 7d,inventoried,Masked failure telemetry.
