route_id,path,methods,endpoint,legacy_module,source,registration_source,registration_kind,decorators,inline_auth_signals,auth_semantics,client_surfaces,client_references,contract_source,target_module,migration_status,compatibility_notes
800a27d5b410,/admin/api/backups,POST,admin.admin_api.api_create_backup,admin,app/modules/admin/routes/api_components/backup_settings.py:284,app/modules/admin/routes/api_components/backup_settings.py:284,blueprint_decorator,"[""session_admin_required"",""admin_required"",""backup_write_guard"",""backup_rate_limit('3 per minute')""]","[""session_reference""]","[""global_session_or_valid_jwt_else_backup_error_401"",""admin_blueprint_hook:session_or_jwt_plus_role_if_global_gate_passes"",""route_decorator:session+admin_role""]",tests,"{""tests"":[""tests/test_admin_backup_api.py:365:test_client_literal"",""tests/test_admin_backup_api.py:384:test_client_literal"",""tests/test_admin_backup_api.py:399:test_client_literal"",""tests/test_admin_backup_api.py:505:test_client_literal"",""tests/test_admin_backup_api.py:516:test_client_literal""]}",runtime:url_map;source:app/modules/admin/routes/api_components/backup_settings.py:284,operations,pending,preserve path/method/status/envelope/auth/null/pagination
454f2f7895c2,/admin/api/backups,GET,admin.admin_api.api_list_backups,admin,app/modules/admin/routes/api_components/backup_settings.py:268,app/modules/admin/routes/api_components/backup_settings.py:268,blueprint_decorator,"[""session_admin_required"",""admin_required"",""backup_rate_limit('60 per minute')""]",[],"[""global_session_or_valid_jwt_else_backup_error_401"",""admin_blueprint_hook:session_or_jwt_plus_role_if_global_gate_passes"",""route_decorator:session+admin_role""]",tests,"{""tests"":[""tests/test_admin_backup_api.py:527:test_client_literal"",""tests/test_admin_backup_api.py:534:test_client_literal""]}",runtime:url_map;source:app/modules/admin/routes/api_components/backup_settings.py:268,operations,pending,preserve path/method/status/envelope/auth/null/pagination
d0f05c956a60,/admin/api/backups/<string:job_id>,DELETE,admin.admin_api.api_delete_backup,admin,app/modules/admin/routes/api_components/backup_settings.py:328,app/modules/admin/routes/api_components/backup_settings.py:328,blueprint_decorator,"[""session_admin_required"",""admin_required"",""backup_write_guard"",""backup_rate_limit('10 per minute')""]",[],"[""global_session_or_valid_jwt_else_backup_error_401"",""admin_blueprint_hook:session_or_jwt_plus_role_if_global_gate_passes"",""route_decorator:session+admin_role""]",tests,"{""tests"":[""tests/test_admin_backup_api.py:611:test_client_literal"",""tests/test_admin_backup_api.py:625:test_client_literal"",""tests/test_admin_backup_api.py:661:test_client_literal"",""tests/test_admin_backup_api.py:678:test_client_literal"",""tests/test_admin_backup_api.py:695:test_client_literal"",""tests/test_admin_backup_api.py:713:test_client_literal"",""tests/test_admin_backup_api.py:737:test_client_literal"",""tests/test_admin_backup_api.py:757:test_client_literal""]}",runtime:url_map;source:app/modules/admin/routes/api_components/backup_settings.py:328,operations,pending,preserve path/method/status/envelope/auth/null/pagination
51a75a45d162,/admin/api/backups/<string:job_id>/download,GET,admin.admin_api.api_download_backup,admin,app/modules/admin/routes/api_components/backup_settings.py:304,app/modules/admin/routes/api_components/backup_settings.py:304,blueprint_decorator,"[""session_admin_required"",""admin_required"",""backup_rate_limit('10 per minute')""]",[],"[""global_session_or_valid_jwt_else_backup_error_401"",""admin_blueprint_hook:session_or_jwt_plus_role_if_global_gate_passes"",""route_decorator:session+admin_role""]",tests,"{""tests"":[""tests/test_admin_backup_api.py:584:test_client_literal"",""tests/test_admin_backup_api.py:659:test_client_literal"",""tests/test_admin_backup_api.py:676:test_client_literal"",""tests/test_admin_backup_api.py:692:test_client_literal"",""tests/test_admin_backup_api.py:711:test_client_literal"",""tests/test_admin_backup_api.py:735:test_client_literal""]}",runtime:url_map;source:app/modules/admin/routes/api_components/backup_settings.py:304,operations,pending,preserve path/method/status/envelope/auth/null/pagination
c2809e96c92f,/admin/api/campus/credentials,GET,admin.admin_api.api_campus_credentials,admin,app/modules/admin/routes/api_components/campus.py:26,app/modules/admin/routes/api_components/campus.py:26,blueprint_decorator,"[""admin_required""]",[],"[""global_anonymous_login_redirect"",""admin_blueprint_hook:session_or_jwt_plus_role_if_global_gate_passes"",""route_decorator:session+admin_role""]",tests,"{""tests"":[""tests/test_edu_schedule.py:2084:test_client_literal""]}",runtime:url_map;source:app/modules/admin/routes/api_components/campus.py:26,campus,pending,preserve path/method/status/envelope/auth/null/pagination
c08cd62aa788,/admin/api/campus/records,GET,admin.admin_api.api_campus_records,admin,app/modules/admin/routes/api_components/campus.py:43,app/modules/admin/routes/api_components/campus.py:43,blueprint_decorator,"[""admin_required""]",[],"[""global_anonymous_login_redirect"",""admin_blueprint_hook:session_or_jwt_plus_role_if_global_gate_passes"",""route_decorator:session+admin_role""]",tests,"{""tests"":[""tests/test_edu_schedule.py:1978:test_client_literal"",""tests/test_edu_schedule.py:2029:test_client_literal"",""tests/test_edu_schedule.py:2085:test_client_literal""]}",runtime:url_map;source:app/modules/admin/routes/api_components/campus.py:43,campus,pending,preserve path/method/status/envelope/auth/null/pagination
e739b1027866,/admin/api/campus/records/<record_key>,GET,admin.admin_api.api_campus_record_detail,admin,app/modules/admin/routes/api_components/campus.py:61,app/modules/admin/routes/api_components/campus.py:61,blueprint_decorator,"[""admin_required""]",[],"[""global_anonymous_login_redirect"",""admin_blueprint_hook:session_or_jwt_plus_role_if_global_gate_passes"",""route_decorator:session+admin_role""]",tests,"{""tests"":[""tests/test_edu_schedule.py:2062:test_client_literal"",""tests/test_edu_schedule.py:2086:test_client_literal""]}",runtime:url_map;source:app/modules/admin/routes/api_components/campus.py:61,campus,pending,preserve path/method/status/envelope/auth/null/pagination
531fa93a5ae4,/admin/api/campus/snapshots,GET,admin.admin_api.api_campus_snapshots,admin,app/modules/admin/routes/api_components/campus.py:74,app/modules/admin/routes/api_components/campus.py:74,blueprint_decorator,"[""admin_required""]",[],"[""global_anonymous_login_redirect"",""admin_blueprint_hook:session_or_jwt_plus_role_if_global_gate_passes"",""route_decorator:session+admin_role""]",not_found_static_scan,not_found_static_scan,runtime:url_map;source:app/modules/admin/routes/api_components/campus.py:74,campus,pending,preserve path/method/status/envelope/auth/null/pagination
9487ce3c32c4,/admin/api/campus/snapshots/<kind>/<int:snapshot_id>,GET,admin.admin_api.api_campus_snapshot_detail,admin,app/modules/admin/routes/api_components/campus.py:98,app/modules/admin/routes/api_components/campus.py:98,blueprint_decorator,"[""admin_required""]",[],"[""global_anonymous_login_redirect"",""admin_blueprint_hook:session_or_jwt_plus_role_if_global_gate_passes"",""route_decorator:session+admin_role""]",not_found_static_scan,not_found_static_scan,runtime:url_map;source:app/modules/admin/routes/api_components/campus.py:98,campus,pending,preserve path/method/status/envelope/auth/null/pagination
fc436c61b63b,/admin/api/chat/conversations,GET,admin.admin_api.api_chat_conversations,admin,app/modules/admin/routes/api_components/chat.py:66,app/modules/admin/routes/api_components/chat.py:66,blueprint_decorator,"[""admin_required""]",[],"[""global_anonymous_login_redirect"",""admin_blueprint_hook:session_or_jwt_plus_role_if_global_gate_passes"",""route_decorator:session+admin_role""]",web,"{""web"":[""app/modules/admin/templates/admin/chat/index.html:712:fetch_literal""]}",runtime:url_map;source:app/modules/admin/routes/api_components/chat.py:66,messaging,pending,preserve path/method/status/envelope/auth/null/pagination
9d63e8949cee,/admin/api/chat/conversations/<int:conversation_id>,DELETE,admin.admin_api.api_delete_conversation,admin,app/modules/admin/routes/api_components/chat.py:210,app/modules/admin/routes/api_components/chat.py:210,blueprint_decorator,"[""admin_required""]",[],"[""global_anonymous_login_redirect"",""admin_blueprint_hook:session_or_jwt_plus_role_if_global_gate_passes"",""route_decorator:session+admin_role""]",web,"{""web"":[""app/modules/admin/templates/admin/chat/index.html:947:fetch_literal""]}",runtime:url_map;source:app/modules/admin/routes/api_components/chat.py:210,messaging,pending,preserve path/method/status/envelope/auth/null/pagination
249de8ce3e40,/admin/api/chat/conversations/<int:conversation_id>/messages,GET,admin.admin_api.api_chat_conversation_messages,admin,app/modules/admin/routes/api_components/chat.py:148,app/modules/admin/routes/api_components/chat.py:148,blueprint_decorator,"[""admin_required""]",[],"[""global_anonymous_login_redirect"",""admin_blueprint_hook:session_or_jwt_plus_role_if_global_gate_passes"",""route_decorator:session+admin_role""]",web,"{""web"":[""app/modules/admin/templates/admin/chat/index.html:819:fetch_literal""]}",runtime:url_map;source:app/modules/admin/routes/api_components/chat.py:148,messaging,pending,preserve path/method/status/envelope/auth/null/pagination
2d4d1247a885,/admin/api/chat/messages/<int:message_id>,DELETE,admin.admin_api.api_delete_message,admin,app/modules/admin/routes/api_components/chat.py:244,app/modules/admin/routes/api_components/chat.py:244,blueprint_decorator,"[""admin_required""]",[],"[""global_anonymous_login_redirect"",""admin_blueprint_hook:session_or_jwt_plus_role_if_global_gate_passes"",""route_decorator:session+admin_role""]",web,"{""web"":[""app/modules/admin/templates/admin/chat/index.html:972:fetch_literal""]}",runtime:url_map;source:app/modules/admin/routes/api_components/chat.py:244,messaging,pending,preserve path/method/status/envelope/auth/null/pagination
8a2a84087a0f,/admin/api/chat/stats,GET,admin.admin_api.api_chat_stats,admin,app/modules/admin/routes/api_components/chat.py:18,app/modules/admin/routes/api_components/chat.py:18,blueprint_decorator,"[""admin_required""]",[],"[""global_anonymous_login_redirect"",""admin_blueprint_hook:session_or_jwt_plus_role_if_global_gate_passes"",""route_decorator:session+admin_role""]",web,"{""web"":[""app/modules/admin/templates/admin/chat/index.html:687:fetch_literal""]}",runtime:url_map;source:app/modules/admin/routes/api_components/chat.py:18,messaging,pending,preserve path/method/status/envelope/auth/null/pagination
013d16e2e4d0,/admin/api/coding/questions,POST,admin.admin_api.api_create_coding_question,admin,app/modules/admin/routes/api_components/coding_questions.py:75,app/modules/admin/routes/api_components/coding_questions.py:75,blueprint_decorator,"[""admin_required""]","[""session_reference"",""unauthorized_response_signal""]","[""global_anonymous_login_redirect"",""admin_blueprint_hook:session_or_jwt_plus_role_if_global_gate_passes"",""route_decorator:session+admin_role""]",not_found_static_scan,not_found_static_scan,runtime:url_map;source:app/modules/admin/routes/api_components/coding_questions.py:75,coding,pending,preserve path/method/status/envelope/auth/null/pagination
350b14df39b3,/admin/api/coding/questions,GET,admin.admin_api.api_get_coding_questions,admin,app/modules/admin/routes/api_components/coding_questions.py:21,app/modules/admin/routes/api_components/coding_questions.py:21,blueprint_decorator,"[""admin_required""]",[],"[""global_anonymous_login_redirect"",""admin_blueprint_hook:session_or_jwt_plus_role_if_global_gate_passes"",""route_decorator:session+admin_role""]",not_found_static_scan,not_found_static_scan,runtime:url_map;source:app/modules/admin/routes/api_components/coding_questions.py:21,coding,pending,preserve path/method/status/envelope/auth/null/pagination
616119868e50,/admin/api/coding/questions/<int:question_id>,DELETE,admin.admin_api.api_delete_coding_question,admin,app/modules/admin/routes/api_components/coding_questions.py:302,app/modules/admin/routes/api_components/coding_questions.py:302,blueprint_decorator,"[""admin_required""]","[""session_reference"",""unauthorized_response_signal""]","[""global_anonymous_login_redirect"",""admin_blueprint_hook:session_or_jwt_plus_role_if_global_gate_passes"",""route_decorator:session+admin_role""]",not_found_static_scan,not_found_static_scan,runtime:url_map;source:app/modules/admin/routes/api_components/coding_questions.py:302,coding,pending,preserve path/method/status/envelope/auth/null/pagination
5568a6b0ba34,/admin/api/coding/questions/<int:question_id>,PUT,admin.admin_api.api_update_coding_question,admin,app/modules/admin/routes/api_components/coding_questions.py:180,app/modules/admin/routes/api_components/coding_questions.py:180,blueprint_decorator,"[""admin_required""]","[""session_reference"",""unauthorized_response_signal""]","[""global_anonymous_login_redirect"",""admin_blueprint_hook:session_or_jwt_plus_role_if_global_gate_passes"",""route_decorator:session+admin_role""]",not_found_static_scan,not_found_static_scan,runtime:url_map;source:app/modules/admin/routes/api_components/coding_questions.py:180,coding,pending,preserve path/method/status/envelope/auth/null/pagination
6a8141dd280d,/admin/api/download_template,GET,admin.admin_api.download_template,admin,app/modules/admin/routes/api_components/questions_io.py:363,app/modules/admin/routes/api_components/questions_io.py:363,blueprint_decorator,"[""subject_admin_required""]",[],"[""global_anonymous_login_redirect"",""admin_blueprint_hook:session_or_jwt_plus_role_if_global_gate_passes"",""route_decorator:session+subject_admin_role""]",not_found_static_scan,not_found_static_scan,runtime:url_map;source:app/modules/admin/routes/api_components/questions_io.py:363,operations,pending,preserve path/method/status/envelope/auth/null/pagination
8d4433dfbe42,/admin/api/forum/bans,POST,admin.admin_api.api_admin_ban_user,admin,app/modules/admin/routes/api_components/forum.py:260,app/modules/admin/routes/api_components/forum.py:260,blueprint_decorator,"[""admin_required""]","[""session_reference""]","[""global_anonymous_login_redirect"",""admin_blueprint_hook:session_or_jwt_plus_role_if_global_gate_passes"",""route_decorator:session+admin_role""]",not_found_static_scan,not_found_static_scan,runtime:url_map;source:app/modules/admin/routes/api_components/forum.py:260,community,pending,preserve path/method/status/envelope/auth/null/pagination
418bbd27eea9,/admin/api/forum/bans,GET,admin.admin_api.api_admin_forum_bans,admin,app/modules/admin/routes/api_components/forum.py:245,app/modules/admin/routes/api_components/forum.py:245,blueprint_decorator,"[""admin_required""]",[],"[""global_anonymous_login_redirect"",""admin_blueprint_hook:session_or_jwt_plus_role_if_global_gate_passes"",""route_decorator:session+admin_role""]",not_found_static_scan,not_found_static_scan,runtime:url_map;source:app/modules/admin/routes/api_components/forum.py:245,community,pending,preserve path/method/status/envelope/auth/null/pagination
e45b4aad64d3,/admin/api/forum/bans/<int:user_id>,DELETE,admin.admin_api.api_admin_unban_user,admin,app/modules/admin/routes/api_components/forum.py:281,app/modules/admin/routes/api_components/forum.py:281,blueprint_decorator,"[""admin_required""]",[],"[""global_anonymous_login_redirect"",""admin_blueprint_hook:session_or_jwt_plus_role_if_global_gate_passes"",""route_decorator:session+admin_role""]",not_found_static_scan,not_found_static_scan,runtime:url_map;source:app/modules/admin/routes/api_components/forum.py:281,community,pending,preserve path/method/status/envelope/auth/null/pagination
fecda9fe6c8c,/admin/api/forum/boards,POST,admin.admin_api.api_admin_create_board,admin,app/modules/admin/routes/api_components/forum.py:141,app/modules/admin/routes/api_components/forum.py:141,blueprint_decorator,"[""admin_required""]","[""session_reference""]","[""global_anonymous_login_redirect"",""admin_blueprint_hook:session_or_jwt_plus_role_if_global_gate_passes"",""route_decorator:session+admin_role""]",not_found_static_scan,not_found_static_scan,runtime:url_map;source:app/modules/admin/routes/api_components/forum.py:141,community,pending,preserve path/method/status/envelope/auth/null/pagination
4518fde641c0,/admin/api/forum/boards,GET,admin.admin_api.api_admin_get_boards,admin,app/modules/admin/routes/api_components/forum.py:129,app/modules/admin/routes/api_components/forum.py:129,blueprint_decorator,"[""admin_required""]",[],"[""global_anonymous_login_redirect"",""admin_blueprint_hook:session_or_jwt_plus_role_if_global_gate_passes"",""route_decorator:session+admin_role""]",not_found_static_scan,not_found_static_scan,runtime:url_map;source:app/modules/admin/routes/api_components/forum.py:129,community,pending,preserve path/method/status/envelope/auth/null/pagination
6f513186d9cf,/admin/api/forum/boards/<int:board_id>,DELETE,admin.admin_api.api_admin_delete_board,admin,app/modules/admin/routes/api_components/forum.py:179,app/modules/admin/routes/api_components/forum.py:179,blueprint_decorator,"[""admin_required""]",[],"[""global_anonymous_login_redirect"",""admin_blueprint_hook:session_or_jwt_plus_role_if_global_gate_passes"",""route_decorator:session+admin_role""]",not_found_static_scan,not_found_static_scan,runtime:url_map;source:app/modules/admin/routes/api_components/forum.py:179,community,pending,preserve path/method/status/envelope/auth/null/pagination
e03db2d6e2cd,/admin/api/forum/boards/<int:board_id>,PUT,admin.admin_api.api_admin_update_board,admin,app/modules/admin/routes/api_components/forum.py:164,app/modules/admin/routes/api_components/forum.py:164,blueprint_decorator,"[""admin_required""]",[],"[""global_anonymous_login_redirect"",""admin_blueprint_hook:session_or_jwt_plus_role_if_global_gate_passes"",""route_decorator:session+admin_role""]",not_found_static_scan,not_found_static_scan,runtime:url_map;source:app/modules/admin/routes/api_components/forum.py:164,community,pending,preserve path/method/status/envelope/auth/null/pagination
5349756fc202,/admin/api/forum/boards/sync,POST,admin.admin_api.api_admin_sync_boards,admin,app/modules/admin/routes/api_components/forum.py:193,app/modules/admin/routes/api_components/forum.py:193,blueprint_decorator,"[""admin_required""]",[],"[""global_anonymous_login_redirect"",""admin_blueprint_hook:session_or_jwt_plus_role_if_global_gate_passes"",""route_decorator:session+admin_role""]",not_found_static_scan,not_found_static_scan,runtime:url_map;source:app/modules/admin/routes/api_components/forum.py:193,community,pending,preserve path/method/status/envelope/auth/null/pagination
b24fa330d02d,/admin/api/forum/posts,GET,admin.admin_api.api_admin_forum_posts,admin,app/modules/admin/routes/api_components/forum.py:45,app/modules/admin/routes/api_components/forum.py:45,blueprint_decorator,"[""admin_required""]",[],"[""global_anonymous_login_redirect"",""admin_blueprint_hook:session_or_jwt_plus_role_if_global_gate_passes"",""route_decorator:session+admin_role""]",not_found_static_scan,not_found_static_scan,runtime:url_map;source:app/modules/admin/routes/api_components/forum.py:45,community,pending,preserve path/method/status/envelope/auth/null/pagination
38704d635aef,/admin/api/forum/posts/<int:post_id>,DELETE,admin.admin_api.api_admin_delete_post,admin,app/modules/admin/routes/api_components/forum.py:91,app/modules/admin/routes/api_components/forum.py:91,blueprint_decorator,"[""admin_required""]","[""session_reference""]","[""global_anonymous_login_redirect"",""admin_blueprint_hook:session_or_jwt_plus_role_if_global_gate_passes"",""route_decorator:session+admin_role""]",not_found_static_scan,not_found_static_scan,runtime:url_map;source:app/modules/admin/routes/api_components/forum.py:91,community,pending,preserve path/method/status/envelope/auth/null/pagination
b30052dee192,/admin/api/forum/posts/<int:post_id>/toggle,POST,admin.admin_api.api_admin_toggle_post,admin,app/modules/admin/routes/api_components/forum.py:109,app/modules/admin/routes/api_components/forum.py:109,blueprint_decorator,"[""admin_required""]",[],"[""global_anonymous_login_redirect"",""admin_blueprint_hook:session_or_jwt_plus_role_if_global_gate_passes"",""route_decorator:session+admin_role""]",not_found_static_scan,not_found_static_scan,runtime:url_map;source:app/modules/admin/routes/api_components/forum.py:109,community,pending,preserve path/method/status/envelope/auth/null/pagination
a945629cc976,/admin/api/forum/reports,GET,admin.admin_api.api_admin_forum_reports,admin,app/modules/admin/routes/api_components/forum.py:208,app/modules/admin/routes/api_components/forum.py:208,blueprint_decorator,"[""admin_required""]",[],"[""global_anonymous_login_redirect"",""admin_blueprint_hook:session_or_jwt_plus_role_if_global_gate_passes"",""route_decorator:session+admin_role""]",not_found_static_scan,not_found_static_scan,runtime:url_map;source:app/modules/admin/routes/api_components/forum.py:208,community,pending,preserve path/method/status/envelope/auth/null/pagination
31856e475006,/admin/api/forum/reports/<int:report_id>/handle,POST,admin.admin_api.api_admin_handle_report,admin,app/modules/admin/routes/api_components/forum.py:223,app/modules/admin/routes/api_components/forum.py:223,blueprint_decorator,"[""admin_required""]","[""session_reference""]","[""global_anonymous_login_redirect"",""admin_blueprint_hook:session_or_jwt_plus_role_if_global_gate_passes"",""route_decorator:session+admin_role""]",not_found_static_scan,not_found_static_scan,runtime:url_map;source:app/modules/admin/routes/api_components/forum.py:223,community,pending,preserve path/method/status/envelope/auth/null/pagination
819811abfa2b,/admin/api/forum/stats,GET,admin.admin_api.api_forum_stats,admin,app/modules/admin/routes/api_components/forum.py:13,app/modules/admin/routes/api_components/forum.py:13,blueprint_decorator,"[""admin_required""]",[],"[""global_anonymous_login_redirect"",""admin_blueprint_hook:session_or_jwt_plus_role_if_global_gate_passes"",""route_decorator:session+admin_role""]",not_found_static_scan,not_found_static_scan,runtime:url_map;source:app/modules/admin/routes/api_components/forum.py:13,community,pending,preserve path/method/status/envelope/auth/null/pagination
83d8de391c73,/admin/api/notifications,POST,admin.admin_api.admin_api_notifications_create,admin,app/modules/admin/routes/api_components/notifications.py:38,app/modules/admin/routes/api_components/notifications.py:38,blueprint_decorator,"[""notification_admin_required""]","[""session_reference""]","[""global_anonymous_login_redirect"",""admin_blueprint_hook:session_or_jwt_plus_role_if_global_gate_passes"",""route_decorator:session+notification_admin_role""]",tests,"{""tests"":[""tests/test_admin_notifications_page.py:50:test_client_literal""]}",runtime:url_map;source:app/modules/admin/routes/api_components/notifications.py:38,messaging,pending,preserve path/method/status/envelope/auth/null/pagination
d6f42ebda7ae,/admin/api/notifications,GET,admin.admin_api.admin_api_notifications_list,admin,app/modules/admin/routes/api_components/notifications.py:18,app/modules/admin/routes/api_components/notifications.py:18,blueprint_decorator,"[""notification_admin_required""]",[],"[""global_anonymous_login_redirect"",""admin_blueprint_hook:session_or_jwt_plus_role_if_global_gate_passes"",""route_decorator:session+notification_admin_role""]",web,"{""web"":[""app/modules/admin/templates/admin/notifications/_notification_scripts.html:14:fetch_literal""]}",runtime:url_map;source:app/modules/admin/routes/api_components/notifications.py:18,messaging,pending,preserve path/method/status/envelope/auth/null/pagination
03326e54a9a2,/admin/api/notifications/<int:nid>,DELETE,admin.admin_api.admin_api_notifications_delete,admin,app/modules/admin/routes/api_components/notifications.py:145,app/modules/admin/routes/api_components/notifications.py:145,blueprint_decorator,"[""notification_admin_required""]",[],"[""global_anonymous_login_redirect"",""admin_blueprint_hook:session_or_jwt_plus_role_if_global_gate_passes"",""route_decorator:session+notification_admin_role""]",web,"{""web"":[""app/modules/admin/templates/admin/notifications/_notification_scripts.html:359:fetch_literal""]}",runtime:url_map;source:app/modules/admin/routes/api_components/notifications.py:145,messaging,pending,preserve path/method/status/envelope/auth/null/pagination
62d15d0d4609,/admin/api/notifications/<int:nid>,GET,admin.admin_api.admin_api_notifications_get,admin,app/modules/admin/routes/api_components/notifications.py:83,app/modules/admin/routes/api_components/notifications.py:83,blueprint_decorator,"[""notification_admin_required""]",[],"[""global_anonymous_login_redirect"",""admin_blueprint_hook:session_or_jwt_plus_role_if_global_gate_passes"",""route_decorator:session+notification_admin_role""]",web,"{""web"":[""app/modules/admin/templates/admin/notifications/_notification_scripts.html:242:fetch_literal""]}",runtime:url_map;source:app/modules/admin/routes/api_components/notifications.py:83,messaging,pending,preserve path/method/status/envelope/auth/null/pagination
